NPolicy
PlayerSum,DealerUpCard,IsSoft,CanBeSplitted,Action,Value
17,Five,False,False,STAND,34276.0000
17,Five,False,False,HIT,7808.0000
17,Five,False,False,DOUBLE_DOWN,5496.0000
17,Five,False,False,SURRENDER,5632.0000
15,Eight,False,False,STAND,18706.0000
15,Eight,False,False,HIT,9796.0000
15,Eight,False,False,DOUBLE_DOWN,6573.0000
15,Eight,False,False,SURRENDER,35502.0000
13,Five,False,False,STAND,44217.0000
13,Five,False,False,HIT,9084.0000
13,Five,False,False,DOUBLE_DOWN,7762.0000
13,Five,False,False,SURRENDER,7697.0000
13,Six,False,False,STAND,43962.0000
13,Six,False,False,HIT,9155.0000
13,Six,False,False,DOUBLE_DOWN,7824.0000
13,Six,False,False,SURRENDER,7871.0000
15,Six,False,False,STAND,39238.0000
15,Six,False,False,HIT,8559.0000
15,Six,False,False,DOUBLE_DOWN,6618.0000
15,Six,False,False,SURRENDER,6645.0000
11,Seven,False,False,STAND,5062.0000
11,Seven,False,False,HIT,7005.0000
11,Seven,False,False,DOUBLE_DOWN,24101.0000
11,Seven,False,False,SURRENDER,4399.0000
18,Nine,False,False,STAND,34500.0000
18,Nine,False,False,HIT,7665.0000
18,Nine,False,False,DOUBLE_DOWN,4432.0000
18,Nine,False,False,SURRENDER,4452.0000
17,Eight,False,False,STAND,42513.0000
17,Eight,False,False,HIT,9195.0000
17,Eight,False,False,DOUBLE_DOWN,5389.0000
17,Eight,False,False,SURRENDER,5584.0000
9,Queen,False,False,STAND,3530.0000
9,Queen,False,False,HIT,18908.0000
9,Queen,False,False,DOUBLE_DOWN,3334.0000
9,Queen,False,False,SURRENDER,3406.0000
11,Jack,False,False,STAND,5020.0000
11,Jack,False,False,HIT,6600.0000
11,Jack,False,False,DOUBLE_DOWN,23677.0000
11,Jack,False,False,SURRENDER,4651.0000
17,Ace,False,False,STAND,12036.0000
17,Ace,False,False,HIT,8072.0000
17,Ace,False,False,DOUBLE_DOWN,5528.0000
17,Ace,False,False,SURRENDER,29699.0000
15,Two,False,False,STAND,39566.0000
15,Two,False,False,HIT,8517.0000
15,Two,False,False,DOUBLE_DOWN,6625.0000
15,Two,False,False,SURRENDER,6561.0000
9,Nine,False,False,STAND,3705.0000
9,Nine,False,False,HIT,15404.0000
9,Nine,False,False,DOUBLE_DOWN,7218.0000
9,Nine,False,False,SURRENDER,3415.0000
20,Two,False,False,STAND,40829.0000
20,Two,False,False,HIT,9331.0000
20,Two,False,False,DOUBLE_DOWN,6829.0000
20,Two,False,False,SURRENDER,6432.0000
12,Queen,False,True,STAND,448.0000
12,Queen,False,True,HIT,458.0000
12,Queen,False,True,SPLIT,450.0000
12,Queen,False,True,DOUBLE_DOWN,420.0000
12,Queen,False,True,SURRENDER,2699.0000
12,Ten,False,False,STAND,11090.0000
12,Ten,False,False,HIT,12694.0000
12,Ten,False,False,DOUBLE_DOWN,7754.0000
12,Ten,False,False,SURRENDER,41544.0000
15,Five,False,False,STAND,38904.0000
15,Five,False,False,HIT,8398.0000
15,Five,False,False,DOUBLE_DOWN,6525.0000
15,Five,False,False,SURRENDER,6438.0000
13,Eight,False,False,STAND,18349.0000
13,Eight,False,False,HIT,10264.0000
13,Eight,False,False,DOUBLE_DOWN,7694.0000
13,Eight,False,False,SURRENDER,41851.0000
8,Ace,False,True,STAND,448.0000
8,Ace,False,True,HIT,441.0000
8,Ace,False,True,SPLIT,453.0000
8,Ace,False,True,DOUBLE_DOWN,443.0000
8,Ace,False,True,SURRENDER,2676.0000
14,Two,False,False,STAND,38883.0000
14,Two,False,False,HIT,8173.0000
