QPolicy
PlayerSum,DealerUpCard,IsSoft,CanBeSplitted,Action,Value
17,Five,False,False,STAND,-0.0426
17,Five,False,False,HIT,-0.6773
17,Five,False,False,DOUBLE_DOWN,-1.0575
17,Five,False,False,SURRENDER,-0.5000
15,Eight,False,False,STAND,-0.5140
15,Eight,False,False,HIT,-0.5821
15,Eight,False,False,DOUBLE_DOWN,-0.8285
15,Eight,False,False,SURRENDER,-0.5000
13,Five,False,False,STAND,-0.1681
13,Five,False,False,HIT,-0.4707
13,Five,False,False,DOUBLE_DOWN,-0.5249
13,Five,False,False,SURRENDER,-0.5000
13,Six,False,False,STAND,-0.1248
13,Six,False,False,HIT,-0.4434
13,Six,False,False,DOUBLE_DOWN,-0.4632
13,Six,False,False,SURRENDER,-0.5000
15,Six,False,False,STAND,-0.1263
15,Six,False,False,HIT,-0.5661
15,Six,False,False,DOUBLE_DOWN,-0.7824
15,Six,False,False,SURRENDER,-0.5000
11,Seven,False,False,STAND,-0.4737
11,Seven,False,False,HIT,-0.0334
11,Seven,False,False,DOUBLE_DOWN,0.4597
11,Seven,False,False,SURRENDER,-0.5000
18,Nine,False,False,STAND,-0.1848
18,Nine,False,False,HIT,-0.7474
18,Nine,False,False,DOUBLE_DOWN,-1.2098
18,Nine,False,False,SURRENDER,-0.5000
17,Eight,False,False,STAND,-0.3851
17,Eight,False,False,HIT,-0.6497
17,Eight,False,False,DOUBLE_DOWN,-0.9891
17,Eight,False,False,SURRENDER,-0.5000
9,Queen,False,False,STAND,-0.5892
9,Queen,False,False,HIT,-0.3217
9,Queen,False,False,DOUBLE_DOWN,-0.6107
9,Queen,False,False,SURRENDER,-0.5000
11,Jack,False,False,STAND,-0.5749
11,Jack,False,False,HIT,-0.2273
11,Jack,False,False,DOUBLE_DOWN,0.0196
11,Jack,False,False,SURRENDER,-0.5000
17,Ace,False,False,STAND,-0.6523
17,Ace,False,False,HIT,-0.8025
17,Ace,False,False,DOUBLE_DOWN,-1.4356
17,Ace,False,False,SURRENDER,-0.5000
15,Two,False,False,STAND,-0.2782
15,Two,False,False,HIT,-0.5988
15,Two,False,False,DOUBLE_DOWN,-0.8326
15,Two,False,False,SURRENDER,-0.5000
9,Nine,False,False,STAND,-0.5196
9,Nine,False,False,HIT,-0.1668
9,Nine,False,False,DOUBLE_DOWN,-0.3245
9,Nine,False,False,SURRENDER,-0.5000
20,Two,False,False,STAND,0.6327
20,Two,False,False,HIT,-0.9003
20,Two,False,False,DOUBLE_DOWN,-1.6945
20,Two,False,False,SURRENDER,-0.5000
12,Queen,False,True,STAND,-0.6295
12,Queen,False,True,HIT,-0.5393
12,Queen,False,True,SPLIT,-1.2344
12,Queen,False,True,DOUBLE_DOWN,-0.8714
12,Queen,False,True,SURRENDER,-0.5000
12,Ten,False,False,STAND,-0.5858
12,Ten,False,False,HIT,-0.5559
12,Ten,False,False,DOUBLE_DOWN,-0.8924
12,Ten,False,False,SURRENDER,-0.5000
15,Five,False,False,STAND,-0.1556
15,Five,False,False,HIT,-0.5688
15,Five,False,False,DOUBLE_DOWN,-0.7703
15,Five,False,False,SURRENDER,-0.5000
13,Eight,False,False,STAND,-0.5143
13,Eight,False,False,HIT,-0.5334
13,Eight,False,False,DOUBLE_DOWN,-0.7026
13,Eight,False,False,SURRENDER,-0.5000
8,Ace,False,True,STAND,-0.7813
8,Ace,False,True,HIT,-0.6531
8,Ace,False,True,SPLIT,-1.2826
8,Ace,False,True,DOUBLE_DOWN,-1.1648
8,Ace,False,True,SURRENDER,-0.5000
14,Two,False,False,STAND,-0.2859
14,Two,False,False,HIT,-0.5478
14,Two,False,False,DOUBLE_DOWN,-0.7227
14,Two,False,False,SURRENDER,-0.5000
18,Ten,False,False,STAND,-0.2356
18,Ten,False,False,HIT,-0.7809
18,Ten,False,False,DOUBLE_DOWN,-1.3490
18,Ten,False,False,SURRENDER,-0.5000
17,Jack,False,False,STAND,-0.4572
17,Jack,False,False,HIT,-0.7348
17,Jack,False,False,DOUBLE_DOWN,-1.2278
17,Jack,False,False,SURRENDER,-0.5000
8,Seven,False,False,STAND,-0.4470
8,Seven,False,False,HIT,-0.0667
8,Seven,False,False,DOUBLE_DOWN,-0.1646
8,Seven,False,False,SURRENDER,-0.5000
11,Five,False,False,STAND,-0.1616
11,Five,False,False,HIT,-0.0370
11,Five,False,False,DOUBLE_DOWN,0.6252
11,Five,False,False,SURRENDER,-0.5000
13,Ten,False,False,STAND,-0.5809
13,Ten,False,False,HIT,-0.6063
13,Ten,False,False,DOUBLE_DOWN,-0.9488
13,Ten,False,False,SURRENDER,-0.5000
11,Three,False,False,STAND,-0.2331
11,Three,False,False,HIT,-0.0860
11,Three,False,False,DOUBLE_DOWN,0.5528
11,Three,False,False,SURRENDER,-0.5000
21,Nine,True,False,STAND,1.4423
21,Nine,True,False,HIT,-0.1808
21,Nine,True,False,DOUBLE_DOWN,0.2093
21,Nine,True,False,SURRENDER,-0.5000
21,Nine,False,False,STAND,0.9425
21,Nine,False,False,HIT,-1.0000
16,Four,False,False,STAND,-0.2067
16,Four,False,False,HIT,-0.6297
16,Four,False,False,DOUBLE_DOWN,-0.8733
16,Four,False,False,SURRENDER,-0.5000
14,Three,True,False,STAND,-0.2161
14,Three,True,False,HIT,-0.0764
14,Three,True,False,DOUBLE_DOWN,-0.0119
14,Three,True,False,SURRENDER,-0.5000
19,Three,True,False,STAND,0.4033
19,Three,True,False,HIT,-0.1419
